t,PPI_mean
2017-01-01,
2017-01-04,
2017-01-11,
2017-01-14,
2017-01-24,
2017-01-31,
2017-02-03,
2017-02-10,
2017-02-13,
2017-02-20,0.010145833
2017-02-23,
2017-03-02,
2017-03-05,
2017-03-12,
2017-03-15,
2017-03-17,
2017-03-22,
2017-03-25,
2017-03-27,
2017-03-30,
2017-04-01,0.042338014
2017-04-04,
2017-04-06,
2017-04-09,
2017-04-11,
2017-04-14,
2017-04-16,
2017-04-21,
2017-04-24,0.1542661
2017-04-26,
2017-04-29,
2017-05-01,0.2721273
2017-05-04,
2017-05-06,
2017-05-09,
2017-05-11,
2017-05-14,
2017-05-16,
2017-05-19,
2017-05-21,
2017-05-24,1.342275
2017-05-26,
2017-05-29,
2017-05-31,
2017-06-03,1.2528132
2017-06-05,
2017-06-08,
2017-06-10,1.9945654
2017-06-13,1.8333833
2017-06-15,
2017-06-18,
2017-06-20,1.9059983
2017-06-23,
2017-06-25,
2017-06-28,
2017-06-30,
2017-07-03,
2017-07-05,
2017-07-08,2.1760867
2017-07-10,
2017-07-13,1.5936
2017-07-15,
2017-07-18,
2017-07-20,1.2531651
2017-07-23,
2017-07-25,
2017-07-28,
2017-07-30,
2017-08-02,
2017-08-04,
2017-08-07,
2017-08-09,1.0786322
2017-08-12,
2017-08-14,
2017-08-17,0.89906937
2017-08-19,
2017-08-22,
2017-08-24,0.9930917
2017-08-27,0.8140455
2017-08-29,0.82363796
2017-09-01,
2017-09-03,
2017-09-06,1.3164446
2017-09-08,
2017-09-11,
2017-09-13,
2017-09-16,
2017-09-18,
2017-09-21,
2017-09-23,
2017-09-26,
2017-09-28,0.47124562
2017-10-01,
2017-10-03,
2017-10-06,
2017-10-08,
2017-10-11,
2017-10-13,
2017-10-16,0.22816445
2017-10-18,
2017-10-21,
2017-10-23,
2017-10-26,
2017-10-28,
2017-10-31,
2017-11-02,0.08386281
2017-11-05,
2017-11-07,
2017-11-10,
2017-11-12,
2017-11-15,0.044528924
2017-11-17,
2017-11-20,
2017-11-22,
2017-11-27,
2017-11-30,
2017-12-02,
2017-12-05,
2017-12-07,0.021033885
2017-12-10,
2017-12-12,
2017-12-15,
2017-12-17,
2017-12-20,
2017-12-22,
2017-12-25,0.01015124
2017-12-27,
2017-12-30,
2018-01-01,
2018-01-04,
2018-01-06,0.0034099175
2018-01-09,
2018-01-11,
2018-01-14,
2018-01-16,
2018-01-19,
2018-01-21,
2018-01-24,
2018-01-26,
2018-01-29,0.008167768
2018-01-31,0.09105
2018-02-03,
2018-02-05,
2018-02-08,
2018-02-10,
2018-02-13,0.008589256
2018-02-15,
2018-02-18,
2018-02-20,
2018-02-23,
2018-02-25,0.01275
2018-02-28,
2018-03-02,
2018-03-05,
2018-03-07,
2018-03-10,
2018-03-12,
2018-03-15,
2018-03-17,
2018-03-20,
2018-03-22,0.042145453
2018-03-25,
2018-03-27,
2018-03-30,
2018-04-01,
2018-04-04,0.013742975
2018-04-06,0.05909008
2018-04-09,
2018-04-11,0.04795537
2018-04-14,
2018-04-16,
2018-04-19,0.07948429
2018-04-21,0.11681569
2018-04-24,0.22106446
2018-04-26,
2018-04-29,0.2494132
2018-05-01,
2018-05-04,
2018-05-06,0.5487422
2018-05-09,
2018-05-11,0.6387827
